audio_file,text,language,speaker,source_file
004348.wav,"At that station the safes were given out, heavy with shot, not gold; the thieves went on to Dover, and by-and-by,",en,LJSpeech_single_speaker,LJ015-0247.wav
007733.wav,No traces of its moat have appeared.,en,LJSpeech_single_speaker,LJ028-0475.wav
003546.wav,"A notorious miser, Robert Smith, had recently died in Seven Dials, where he had amassed a considerable fortune.",en,LJSpeech_single_speaker,LJ013-0049.wav
001238.wav,No attempt was made to maintain discipline.,en,LJSpeech_single_speaker,LJ005-0119.wav
000721.wav,"Few realizing that the dreadful fate would overtake them, dismissed the prospect of death,",en,LJSpeech_single_speaker,LJ003-0198.wav
008523.wav,"This price included $19.95 for the rifle and the scope, and $1.50 for postage and handling.",en,LJSpeech_single_speaker,LJ032-0045.wav
009314.wav,and she must have run down the stairs ahead of Oswald and would probably have seen or heard him.,en,LJSpeech_single_speaker,LJ035-0129.wav
009910.wav,"Brewer met McDonald and the other policemen at the alley exit door,",en,LJSpeech_single_speaker,LJ038-0028.wav
001740.wav,"The admission of a crowd of visitors to assist in these lay services has already been remarked upon; as the inspectors pointed out,",en,LJSpeech_single_speaker,LJ007-0014.wav
002453.wav,"next, the offenses of returning from transportation, stealing post-office letters, and sacrilege were no longer punishable with death.",en,LJSpeech_single_speaker,LJ009-0166.wav
006067.wav,seems necessary to produce the same result of justice and right conduct,en,LJSpeech_single_speaker,LJ021-0026.wav
001179.wav,With some important modifications this principle of radiation is still the rule.,en,LJSpeech_single_speaker,LJ005-0059.wav
011811.wav,"when his temporary residence, Blair House, was attacked by Puerto Rican Nationalists.",en,LJSpeech_single_speaker,LJ046-0010.wav
009346.wav,"The reconstruction was the minimum time. Accordingly, she probably met Oswald at about 12:32,",en,LJSpeech_single_speaker,LJ035-0161.wav
000380.wav,"Besides these, a number had the privilege of a ""run on the key,"" which allowed a prisoner to go into the rules for the day.",en,LJSpeech_single_speaker,LJ002-0195.wav
001936.wav,"Abuses and irregularities, which had been partially remedied by the reform introduced in 1837, were once more in the ascendant.",en,LJSpeech_single_speaker,LJ007-0210.wav
006683.wav,"I hope that thereby the difficult process of constitutional amendment may be rendered unnecessary. But,",en,LJSpeech_single_speaker,LJ024-0088.wav
006866.wav,"can be distinguished from those acts of contraction following upon stimuli, which are called ""reflex"" in animals.",en,LJSpeech_single_speaker,LJ025-0128.wav
004334.wav,A weight of shot was bought and stowed in carpet bags ready to replace exactly the abstracted gold.,en,LJSpeech_single_speaker,LJ015-0233.wav
007554.wav,"thou coverest the foulest deeds with the fairest possible name, when thou sayest thy maiming is to help our siege forward.",en,LJSpeech_single_speaker,LJ028-0296.wav
004340.wav,"Just as the train was starting Agar slipped into the van with Burgess, and Pierce got into a first-class carriage.",en,LJSpeech_single_speaker,LJ015-0239.wav
010439.wav,There remains the question of what impelled Oswald to conceive and to carry out the assassination of the President of the United States.,en,LJSpeech_single_speaker,LJ040-0005.wav
011669.wav,"would see anything in the newspaper about his defection, unless he engaged in activities similar to those",en,LJSpeech_single_speaker,LJ045-0118.wav
006497.wav,I want to talk with you very simply about the need for present action in this crisis,en,LJSpeech_single_speaker,LJ023-0043.wav
002151.wav,"but there were no serious accidents, beyond those caused by the goring of a maddened, over-driven ox which forced its way through the crowd.",en,LJSpeech_single_speaker,LJ008-0183.wav
000903.wav,"The onus of improvement lay upon the magistracy, the local authorities administering local funds,",en,LJSpeech_single_speaker,LJ004-0032.wav
004258.wav,"During the days of his prosperity he was a governor of Christ's Hospital,",en,LJSpeech_single_speaker,LJ015-0157.wav
001237.wav,"In many others there were no infirmaries, no places set apart for the confinement of prisoners afflicted with dangerous and infectious disorders.",en,LJSpeech_single_speaker,LJ005-0118.wav
012606.wav,and on one occasion Agent Kellerman left the front seat of the President's car to take a similar position.,en,LJSpeech_single_speaker,LJ049-0013.wav
006023.wav,Studying upon an empty stomach provokes dyspepsia and injures the eyes.,en,LJSpeech_single_speaker,LJ020-0089.wav
006408.wav,under holding company domination the utility industry has long been hopelessly at war within itself and with public sentiment.,en,LJSpeech_single_speaker,LJ022-0157.wav
004809.wav,"Wainwright was allowed a cigar the night before execution, which he smoked in the prison yard, walking up and down with the governor, Mr. Sydney Smith.",en,LJSpeech_single_speaker,LJ016-0399.wav
011888.wav,Absolute security is neither practical nor possible. An approach to complete security would require the President,en,LJSpeech_single_speaker,LJ046-0087.wav
004618.wav,For acting as executioner of Horsemonger Lane Jail,en,LJSpeech_single_speaker,LJ016-0204.wav
009689.wav,"Two young women,",en,LJSpeech_single_speaker,LJ037-0076.wav
002528.wav,"They were taken back to jail, and were again brought out in the afternoon, by which time fresh and stronger ropes had been procured,",en,LJSpeech_single_speaker,LJ009-0241.wav
007890.wav,gave more people an opportunity to participate.,en,LJSpeech_single_speaker,LJ029-0113.wav
003989.wav,"A handsome sum was subscribed for the injured constable, who was disabled for life.",en,LJSpeech_single_speaker,LJ014-0225.wav
010068.wav,You will find the mailbox in the post office which is located 4 blocks from the drugstore on that street.,en,LJSpeech_single_speaker,LJ038-0186.wav
000840.wav,"No prisoners should in future be ironed, except in cases of misconduct,",en,LJSpeech_single_speaker,LJ003-0318.wav
004011.wav,and without reference to or comparison with the documents in which the payment was claimed.,en,LJSpeech_single_speaker,LJ014-0247.wav
002237.wav,"Already the severity of our criminal code, and the number of capital felonies upon the statute book, had brought a reaction;",en,LJSpeech_single_speaker,LJ008-0269.wav
006272.wav,"or to one industry, or to an individual private occupation.",en,LJSpeech_single_speaker,LJ022-0021.wav
006221.wav,"to issue new bonds therefore bearing only 3 and one half percent interest,",en,LJSpeech_single_speaker,LJ021-0180.wav
010660.wav,I couldn't in all honesty sincerely say such a thing.,en,LJSpeech_single_speaker,LJ040-0226.wav
008775.wav,"During the morning of November 21, Oswald asked Frazier whether he could ride home with him that afternoon.",en,LJSpeech_single_speaker,LJ033-0022.wav
