audio_file,language,full_path,source_audio,text
aug_003880.wav,en,D:\Gyan\data\gan_augmented\english\wavs\aug_003880.wav,003880.wav,and they had given information to the police.
aug_011076.wav,en,D:\Gyan\data\gan_augmented\english\wavs\aug_011076.wav,011076.wav,"even though he later referred to the latter as, quote, trusted long time fighters for progress, end quote."
aug_005142.wav,en,D:\Gyan\data\gan_augmented\english\wavs\aug_005142.wav,005142.wav,the public mind was greatly agitated by the affair for several months. The story of the murder must be pretty familiar to most of my readers.
aug_008981.wav,en,D:\Gyan\data\gan_augmented\english\wavs\aug_008981.wav,008981.wav,These two small cartons had been moved from a stack about three aisles away.
aug_007685.wav,en,D:\Gyan\data\gan_augmented\english\wavs\aug_007685.wav,007685.wav,"The enormous amount of debris which buried the palaces and temples and walls of Nebuchadnezzar's city, in places to the depth of a hundred feet,"
aug_001336.wav,en,D:\Gyan\data\gan_augmented\english\wavs\aug_001336.wav,001336.wav,Without enlargement no material change in discipline or interior economy could possibly be introduced.
aug_008362.wav,en,D:\Gyan\data\gan_augmented\english\wavs\aug_008362.wav,008362.wav,assisted by Drs. William Osborne and John Parker.
aug_008140.wav,en,D:\Gyan\data\gan_augmented\english\wavs\aug_008140.wav,008140.wav,The Dallas police radio log reflects that Chief of Police Curry reported the shooting of the President
aug_004773.wav,en,D:\Gyan\data\gan_augmented\english\wavs\aug_004773.wav,004773.wav,and the great outside world shared in the completion of the sacrifice.
aug_010194.wav,en,D:\Gyan\data\gan_augmented\english\wavs\aug_010194.wav,010194.wav,"told Robert Oswald, Lee Harvey Oswald's brother, that Oswald had once threatened to shoot former Vice President Richard M. Nixon."
aug_017811.wav,hi,D:\Gyan\data\gan_augmented\hindi\wavs\aug_017811.wav,017811.wav,रोहन गावस्कर को कॉलिंगवुड ने फ़्लिंटऑफ़ की गेंद पर रन आउट किया।
aug_010437.wav,hi,D:\Gyan\data\gan_augmented\hindi\wavs\aug_010437.wav,010437.wav,उसके इस विवेचन के परिणामस्वरूप अनेक दार्शनिकों को यह विश्वास हुआ कि यद्यपि इतिहास की अध्ययन पद्धति विज्ञान की पद्धतियों की तुलना में भिन्न है; फिर भी उसकी गुणवत्ता कम नहीं है ।
aug_012070.wav,hi,D:\Gyan\data\gan_augmented\hindi\wavs\aug_012070.wav,012070.wav,और इसी विरोध के चलते अमेरिकी राष्ट्रपति ने रुस के साथ परमाणु समझौता रद्द् करने का निर्णय ले लिया है
aug_005023.wav,hi,D:\Gyan\data\gan_augmented\hindi\wavs\aug_005023.wav,005023.wav,कुछ समय विश्राम करने के पश्चात् माधवजी ने बच्चों को वापस चलने को कहा क्योंकि सूर्यास्त के पश्चात् वन में रुकना ठीक नहीं है|
