audio_file,text,language,source_audio,source_type
aug_001267.wav,"In some prisons the prisoners worked seven hours a day, in others ten and ten and a half.",en,001267.wav,gan_augmented
aug_011180.wav,"Oswald moved to Dallas on about October 8, 1962, without telling his mother where he was going.",en,011180.wav,gan_augmented
aug_001883.wav,"The evils of such association were aggravated by the unbroken idleness; one ""evil inflamed the other;"" reformation",en,001883.wav,gan_augmented
aug_005142.wav,the public mind was greatly agitated by the affair for several months. The story of the murder must be pretty familiar to most of my readers.,en,005142.wav,gan_augmented
aug_000762.wav,"This imposition of fees left prisoners destitute on their discharge, without funds to support them in their first struggle to recommence life,",en,000762.wav,gan_augmented
aug_010822.wav,"As indicated above, Oswald started to read Communist literature after he and his mother left New York and moved to New Orleans.",en,010822.wav,gan_augmented
aug_006774.wav,"and it is so, inasmuch as an additional substance -- nitrogen -- enters into it as an essential element;",en,006774.wav,gan_augmented
aug_003617.wav,whom he had shown over the plate closet.,en,003617.wav,gan_augmented
aug_002698.wav,and a military sash.,en,002698.wav,gan_augmented
aug_000338.wav,weighted by treble the amount of costs.,en,000338.wav,gan_augmented
aug_003286.wav,"The chest was opened to give change, and a heavy tray lifted out which plainly held some £4000 in cash.",en,003286.wav,gan_augmented
aug_003991.wav,"One of these was Mobbs, who lived in the Minories,",en,003991.wav,gan_augmented
aug_012038.wav,"As reported in chapter 2, when the special file was reviewed on November 8,",en,012038.wav,gan_augmented
aug_004773.wav,and the great outside world shared in the completion of the sacrifice.,en,004773.wav,gan_augmented
aug_011076.wav,"even though he later referred to the latter as, quote, trusted long time fighters for progress, end quote.",en,011076.wav,gan_augmented
aug_000220.wav,5. The master felons' side. 6. The female felons' side. 7. The state side.,en,000220.wav,gan_augmented
aug_010996.wav,As my Russian improves I become increasingly conscious of just what sort of a society I live in.,en,010996.wav,gan_augmented
aug_008140.wav,The Dallas police radio log reflects that Chief of Police Curry reported the shooting of the President,en,008140.wav,gan_augmented
aug_001509.wav,"Their treatment was also a matter of chance. They still slept on rope mats on the floor, herded together in companies of four or more to keep one another warm",en,001509.wav,gan_augmented
aug_009255.wav,Truly stood in front of the building.,en,009255.wav,gan_augmented
aug_006466.wav,"But when, almost two years later, it came before the Supreme Court its constitutionality was upheld only by a five-to-four vote.",en,006466.wav,gan_augmented
aug_004844.wav,"When they brought in the two watchers to relieve guard one night, Sattler said,",en,004844.wav,gan_augmented
aug_008181.wav,"According to Kellerman, Mrs. Kennedy then cried out, quote,",en,008181.wav,gan_augmented
aug_010514.wav,"That situation, however, was short-lived,",en,010514.wav,gan_augmented
aug_001466.wav,To these were still added an average of about fifty expecting the last penalty of the law; a certain number of transports awaiting removal to the colonies;,en,001466.wav,gan_augmented
aug_004192.wav,and to have succeeded in other speculations.,en,004192.wav,gan_augmented
aug_005138.wav,"The Chronicles of Newgate, Volume 2. By Arthur Griffiths. Section 21: Newgate Notorieties, part 2.",en,005138.wav,gan_augmented
aug_012187.wav,the FBI transferred the principal responsibility for the Oswald case from the Dallas office to the New Orleans office.,en,012187.wav,gan_augmented
aug_008362.wav,assisted by Drs. William Osborne and John Parker.,en,008362.wav,gan_augmented
aug_003489.wav,and was seen to be busily engaged in washing down the house with bucket and mop.,en,003489.wav,gan_augmented
aug_008009.wav,"According to O'Donnell, the President commented that, quote,",en,008009.wav,gan_augmented
aug_001336.wav,Without enlargement no material change in discipline or interior economy could possibly be introduced.,en,001336.wav,gan_augmented
aug_001824.wav,"The other inmates of the prison of an exceptional character, and exempted from the regular discipline, such as it was,",en,001824.wav,gan_augmented
aug_005753.wav,"The prison was to contain four hundred and four prisoners, and the estimated expenditure was £79,000.",en,005753.wav,gan_augmented
aug_007681.wav,"In 1812, James Claudius Rich, the British Resident at Baghdad, made the first complete examination of the ruins.",en,007681.wav,gan_augmented
aug_007685.wav,"The enormous amount of debris which buried the palaces and temples and walls of Nebuchadnezzar's city, in places to the depth of a hundred feet,",en,007685.wav,gan_augmented
aug_003905.wav,After judgment was passed she repeatedly cried out Shame!,en,003905.wav,gan_augmented
aug_007324.wav,"Eleven years later, in 586, he destroyed the sacred Hebrew city,",en,007324.wav,gan_augmented
aug_001217.wav,"The Society did not shrink from its self-imposed duty, but continued year after year, with unflagging energy and unflinching spirit, to watch closely",en,001217.wav,gan_augmented
aug_010076.wav,7. Certain of my documents are in the small blue valise.,en,010076.wav,gan_augmented
aug_011187.wav,"at the time of his defection, when he evidenced no interest in his father and hardly mentioned him, even when questioned.",en,011187.wav,gan_augmented
aug_008679.wav,and issues of two newspapers later identified as the Worker and the Militant.,en,008679.wav,gan_augmented
aug_006132.wav,In this recent reorganization we have recognized three distinct functions:,en,006132.wav,gan_augmented
aug_003623.wav,"When one of these clubs was taken in at the Army and Navy, that establishment also suffered.",en,003623.wav,gan_augmented
aug_009120.wav,"and I felt like there hadn't been more than one eyewitness, and if it got to be a known fact that I was an eyewitness, my family or I, either one, might not be safe.",en,009120.wav,gan_augmented
aug_002921.wav,"replaced the stock in the names of the original holders, who might otherwise have been completely ruined.",en,002921.wav,gan_augmented
