audio_file,text,language,speaker,gender
000347.wav,तो तिच्या जगण्याचा एकमेव आधार होता.,mr,unknown,female
006534.wav,चा मेथडॉलॉजी सेकंड सहावा पेपर होणार हो तारीख,mr,unknown,male
005786.wav,"तिथे अठ्ठेचाळीस देशांतील हसणारे, बागडणारे अपंग पाहून त्यांना आश्चर्य वाटले.",mr,unknown,male
003974.wav,परंतु उदाहरणादाखल प्रभा गणोरकर आणि मल्लिका अमरशेख या दोघींचा उल्लेख पुरेसा व्हावा.,mr,unknown,female
002237.wav,तेवढ्यांत एका भिल्लाने त्या नरावर आपला बाण सोडला.,mr,unknown,female
010909.wav,"इतकेच नाही, तर वा-याने जेंव्हा अधिक उग्र स्वरूप धारण केले, तेंव्हा तर त्या माणसाने आणखी एक वस्त्र आपल्या अंगाभोवती लपेटून घेतले.",mr,unknown,female
003932.wav,भारताच्या द्वीपल्पीय प्रदेशावर सत्ता गाजविणाऱ्या अधिपतीनी तिचे मर्म ओळखून या भौगोलिक वैविध्याचा पुरेपूर उपयोग करून घेतला.,mr,unknown,female
001455.wav,पाश्चात्यांची प्रथा असली तरी आईसाठी मुले काम करता आहेत हे पाहून आजोबांना खूप आनंद झाला होता.,mr,unknown,female
008152.wav,"सूर्योदय आणि सूर्यास्त, तसेच दुपारी १२ वाजता आणि रात्री १२ वाजता जेवू नये.",mr,unknown,male
009292.wav,फार फार वार्षापुर्वी मी एका तळयाच्या शेजारून फिरत असता अचानक तोल जाऊन मी पाण्यात पडलो.,mr,unknown,male
003230.wav,यामुळे विद्युत ऊर्जेमध्ये भरपूर प्रमाणात बचत करणे शक्य होते.,mr,unknown,female
001414.wav,"मिनू, एके दिवशी तिच्या घराच्या बागेत फिरत असतांना, चाफ्याच्या झाडाखाली तिला काहीतरी हालचाल दिसली.",mr,unknown,female
007133.wav,"प्रसन्ना राव तीन, सौम्या स्वामिनाथन चार",mr,unknown,male
002139.wav,एक होती चिमणी आणि एक होता कावळा.,mr,unknown,female
009856.wav,आता तरी तू भगवंताला शरण जा आणि आपल्या अपराधाबद्दल त्याची क्षमा माग!,mr,unknown,male
007325.wav,"उद्या, तिची ह्याच ठिकाणी भेट घेऊन, तिला सर्व सांगेन, आणि ह्यातून सावरण्याचा प्रयत्न करेल.",mr,unknown,male
005355.wav,आमच्या गावाला एका खट्याळ भुताने छळायला सुरवात केली आहे.,mr,unknown,male
002288.wav,तूं कुबडी असलीस तरी तुझे डोके मात्र खूप चालते बाई!,mr,unknown,female
009017.wav,"नकटया, चपटया नाकाचे, अंगावर केस असलेले ते पिलू मजेशीर दिसत होते.",mr,unknown,male
000319.wav,त्या वेळी देवगिरीवर मोठा विजयोत्सव साजरा झाला.,mr,unknown,female
006933.wav,दिवसभर चाललेल्या कामकाजावरून साक्षीदाराकडून भय्यालाल भोतमांगे यांचे घर कुठे आहे?,mr,unknown,male
003027.wav,काळा पाडा वाढत गेला तसतशी त्याला सुंदर कोवळी शिंगे येऊ लागली.,mr,unknown,female
009029.wav,"केवळ आशा करणे व्यर्थ आहे, प्रयत्न हवा.",mr,unknown,male
001776.wav,"बाहेर जाता येत नाही, अन्न आणता येत नाही, हे पाहून शेवटी त्याने आपली मेंढरे मारून खायला सुरवात केली.",mr,unknown,female
001671.wav,परंतु त्याचवेळेला गौरी टीनाच्या मदतीला आली.,mr,unknown,female
005970.wav,धूळ खाऊन मातकट झालेली चुंबळ रिकाम्या पाटीत टाकली.,mr,unknown,male
008030.wav,या दिवशी सायंकाळी घराबाहेर दिवा लाउन त्याच्या वातीचे टोक दक्षिण दिशेस करतात.,mr,unknown,male
007202.wav,"प्रभाग आठ सेर्वेलोना डॉम्निक लासेर्डा दोनशे सव्वीस, गाब्रियाल मास्कारेन्हस एक शे सत्याण्णव.",mr,unknown,male
005063.wav,ती पाच वर्षांची असताना अकस्मात एका अनोख्या रोगाने आजारी पडली.,mr,unknown,male
003022.wav,त्याला पाहून पाहणाराचे मन हरपून जात असे.,mr,unknown,female
006096.wav,मुंबई विद्यापीठातून या भाषा गेल्या पण एकानेही ब्र काढला का,mr,unknown,male
001351.wav,नीतूने आलेल्या सगळ्या मैत्रिणींना आणि मोठयांना धन्यवाद दिले.,mr,unknown,female
007788.wav,"जबाला अश्रू गाळीत म्हणाली, `बाळ सत्यकामा, मी तरुण असताना निरनिराळ्या घरी दासी म्हणून नोकरी करत हिंडत असे, त्यातच केव्हा तरी तुझा जन्म झाला.",mr,unknown,male
007700.wav,शमीक ऋषी मात्र ध्यान-धारणेत मग्न होऊन आश्रमातच बसले होते.,mr,unknown,male
000748.wav,भगवान विष्णू परत गेल्यावर प्रल्हादाने दैत्यांचे सांत्वन करून त्यांना बोध दिला.,mr,unknown,female
005936.wav,कविवर्य मोरोपंतानी आपल्या काव्यात शब्द चमत्कृतीचे विपुल प्रयोग केले आहेत.,mr,unknown,male
010500.wav,"माझ्या आईचे लग्न लहानपणीच झाले होते, सासर श्रीमंत होते.",mr,unknown,female
009516.wav,"काय रे ? कोण्या जेम्स लेनने म्हणे बत्तमीजी केली, तुमची अक्कल तेव्हा सांगा कोठे चरायला गेली ?",mr,unknown,male
010063.wav,"त्यांच्यावर आक्रमण करून गेलेले वैभव मिळवणे अशक्य आहे, मग आता भक्तीने त्यांना वश केले पाहिजे.",mr,unknown,male
008529.wav,नीतूच्या मैत्रिणींनाही तिचीही गाडी खूप आवडायची.,mr,unknown,male
000400.wav,"त्या रक्षकांनी आम्हाला ओळखले, ते आम्हाला पकडणार होते.",mr,unknown,female
003686.wav,क्लेअर विल्किन्स या रॉयल इंजिनिअर्स दलाच्या अभियंत्याने रेखाटन केलेली होती.,mr,unknown,female
008645.wav,"मिनूला तर इतका आनंद झाला होता, ती मनसोक्त तिच्या छोटया मैत्रिणीशी खेळली.",mr,unknown,male
000796.wav,"घरासमोर, बागेत, शाळेत कुठेही, पण एक तरी झाडं लावायचेच.",mr,unknown,female
007411.wav,"बकऱ्या बें बें करीत, तसेच तेही बें बें करू लागले.",mr,unknown,male
009831.wav,परिक्षिती राजा आश्रमातून जाताना एक दोन ऋषिकुमारांनी दुरून पाहिला.,mr,unknown,male
009696.wav,त्या वेळी देवगिरीवर मोठा विजयोत्सव साजरा झाला.,mr,unknown,male
005432.wav,"भाताची पेज, कोंडा, पेंड, वगैरे पौष्टिक पदार्थ ती त्या पाड्याला खायला घालीत असे.",mr,unknown,male
002866.wav,जीवदन्ताने कान देऊन ऐकलं की बिळांतून कांही आवाज येतोय.,mr,unknown,female
000034.wav,एके दिवशी त्याने आपल्या पाचही मुलांना प्रत्येकी हातभर लांबीची एक-एक काठी घेऊन यायला सांगितले.,mr,unknown,female
009027.wav,"डोमकावळयाने कारण सांगितल्यावर कोल्हा त्याला म्हणाला, 'अरे वेडया, आशेने असा वाहून जाऊ नकोस.",mr,unknown,male
009389.wav,"तो पुरुष म्हणाला, माझे नाव सदाचार.",mr,unknown,male
010502.wav,"आईच्या अंगावर सोन्यामोत्याचे दागिने होते, पोत, पेटया, सरीवाकी, गोटतोडे, सारे काही होते.",mr,unknown,female
009432.wav,काही वेळाने देवाला हार घालायला जागा राहात नाही.,mr,unknown,male
006483.wav,याशिवाय आणखी काही विहीर अधिग्रहण करण्याचा प्रस्ताव शासनाच्या विचाराधीन आहे.,mr,unknown,male
