audio_file,text,language,speaker,source_file,gender,source_type
001267.wav,"In some prisons the prisoners worked seven hours a day, in others ten and ten and a half.",en,LJSpeech_single_speaker,LJ005-0148.wav,,real
011180.wav,"Oswald moved to Dallas on about October 8, 1962, without telling his mother where he was going.",en,LJSpeech_single_speaker,LJ043-0054.wav,,real
000039.wav,पाच जणांनी पाच काठ्या आणून वडिलांपुढे ठेवल्या.,mr,unknown,,female,real
005036.wav,येवढ्यात ती भयानक राक्षसीण झोपलेल्या चोरांवर तुटून पडली.,mr,unknown,,male,real
012907.wav,साबित ने भटकल में ही एमबीए की पढ़ाई के साथ इस साल कुरान हिफ्ज़ भी मुकम्मल किया।,hi,unknown,sample_13008,,real
001883.wav,"The evils of such association were aggravated by the unbroken idleness; one ""evil inflamed the other;"" reformation",en,LJSpeech_single_speaker,LJ007-0157.wav,,real
013812.wav,"सुदम अर्बुद सामान्यतया अपने मूल स्थान तक सीमित रहते हैं, शरीर के दूसरे भागों में नहीं फैलते तथा इनसे मामूली क्षति होती है|",hi,unknown,sample_13917,,real
005142.wav,the public mind was greatly agitated by the affair for several months. The story of the murder must be pretty familiar to most of my readers.,en,LJSpeech_single_speaker,LJ018-0005.wav,,real
005616.wav,नकळत येणाऱ्या आठवणींना हे हसू आवरेनासं होतं.,mr,unknown,,male,real
005630.wav,"इंटरनेट के लिए किसी पब्लिक टर्मिनल जैसे साइबर कैफे, ऑफिस आदि में नेट का इस्तेमाल करने के बाद प्रॉपर लॉग आउट जरूर करें।",hi,unknown,sample_5670,,real
014718.wav,उनके द्वारा प्रस्तुत किये गये साहित्य को आर्षेय कहा जाता है।,hi,unknown,sample_14833,,real
015096.wav,हम इन सभी पाठकों का धन्यवाद करते हुए यही निवेदन करना चाहेंगे कि हिन्दयुग्म को इसी प्रकार से पढ़ते हुए हमारा प्रोत्साहन करते रहें।,hi,unknown,sample_15212,,real
000762.wav,"This imposition of fees left prisoners destitute on their discharge, without funds to support them in their first struggle to recommence life,",en,LJSpeech_single_speaker,LJ003-0239.wav,,real
020950.wav,प्रदेश के सीएम सिद्धारमैया लग्जूरिअस लाइफ स्टाइल के लिए लगातार विरोधियों के निशाने पर बने रहते हैं।,hi,unknown,sample_21106,,real
007373.wav,अहमदनगर के हुसैन निजामशाह की पराक्रमी बेटी चाँदबीबी ने वीरतापूर्वक युद्ध किया । उस समय निजामशाही के सरदारों में फूट पैदा हुई ।,hi,unknown,sample_7429,,real
010822.wav,"As indicated above, Oswald started to read Communist literature after he and his mother left New York and moved to New Orleans.",en,LJSpeech_single_speaker,LJ041-0148.wav,,real
007646.wav,लोकांनी त्या जुन्या ज्ञानाला नव तेज दिलं.,mr,unknown,,male,real
006774.wav,"and it is so, inasmuch as an additional substance -- nitrogen -- enters into it as an essential element;",en,LJSpeech_single_speaker,LJ025-0036.wav,,real
003621.wav,"ब्राज़ील में वृष्टि, वनस्पति और प्राणियों के प्रकार भू-आकृति की आड़ी छेद दिखाई गई है|",hi,unknown,sample_3645,,real
021644.wav,"दूरदर्शन द्वारा प्रसारित रामायण, महाभारत जैसे पौराणिक धारावाहिकों तथा भारत-एक खोज, राजा शिवछत्रपति जैसे ऐतिहासिक धारावाहिकों ने बहुत बड़े दर्शक वर्ग को अपनी ओर आकर्षित किया|",hi,unknown,sample_21804,,real
018703.wav,इस इकाई में उपर्युक्त पहलुओं पर विशेष ध्यान देते हुए वर्णन किया गया है|,hi,unknown,sample_18842,,real
006455.wav,परंतु जनक प्राप्त विभिन्न जीन के संयुक्त होने के परिणामस्वरूप लक्षण भिन्न भी हो सकते हैं|,hi,unknown,sample_6499,,real
003617.wav,whom he had shown over the plate closet.,en,LJSpeech_single_speaker,LJ013-0120.wav,,real
002698.wav,and a military sash.,en,LJSpeech_single_speaker,LJ010-0107.wav,,real
012070.wav,और इसी विरोध के चलते अमेरिकी राष्ट्रपति ने रुस के साथ परमाणु समझौता रद्द् करने का निर्णय ले लिया है,hi,unknown,sample_12163,,real
005456.wav,"काय रे, तो पांढरा हत्ती चांगला प्रशिक्षित आहे काय",mr,unknown,,male,real
012440.wav,कोई पृष्ठ पूर्णतः चिकना नहीं होता उसमें कुछ अनियमितताएँ अवश्य होती हैं| आपने अटैचियों तथा अन्य भारी सामानों पर रोलर जड़े देखे होंगे|,hi,unknown,sample_12536,,real
017406.wav,भूकम्प क्या होता है ? जब यह आता है तो क्या होता है ? इसके प्रभाव को कम से कम करने के लिए हम क्या कर सकते हैं ?,hi,unknown,sample_17535,,real
000338.wav,weighted by treble the amount of costs.,en,LJSpeech_single_speaker,LJ002-0153.wav,,real
003286.wav,"The chest was opened to give change, and a heavy tray lifted out which plainly held some £4000 in cash.",en,LJSpeech_single_speaker,LJ012-0085.wav,,real
