audio_file,text,language,speaker,source_file
017156.wav,अगर आप जिंदगी में बहुत कुछ नया सिखना चाहते है तो आपको मल्टी टास्किंग बनना पड़ेगा,hi,unknown,sample_17284
008158.wav,ऐसे में फॉर्मों की स्क्रूटनी के बाद ही कॉमन भर्ती परीक्षा के लिए प्रक्रिया शुरू की जा सकेगी।,hi,unknown,sample_8218
003636.wav,ज्ञात हो कि इसके पूर्व भी जिले के विभिन्न हिस्सों में नकली शराब बनाने की फैक्ट्री का उद्भेदन हुआ।,hi,unknown,sample_3660
019127.wav,"एसेक्स काउंटी क्रिकेट ग्राउंड, चेम्सफोर्ड कैसल पार्क क्रिकेट मैदान, कोलचेस्टर पॉल ग्रेसन जेम्स फोस्टर जेसी राइडर आदि ग्राउंड्स में क्रिकेट खेला जाता है।",hi,unknown,sample_19269
003003.wav,मनुष्य के रक्त में पाई जाने वाली श्वेत रक्त कोशिकाएँ भी एक-कोशिकीय संरचना का उदाहरण हैं जो अपनी आकृति बदल सकती हैं|,hi,unknown,sample_3023
000641.wav,तरल में गति करने वाली वस्तुओं को उचित आकृति प्रदान करके घर्षण बल को कम किया जा सकता है|,hi,unknown,sample_645
000200.wav,स्वाध्याय एवं सत्संग से मनुष्य ऋषि ऋण से गुरु ऋण से मुक्त हो सकता हैं,hi,unknown,sample_201
007917.wav,गेहूँ फसल की अपेक्षा दलहनी फसलों में ज्यादा आमदनी है,hi,unknown,sample_7976
014742.wav,वहीं भारी हिमपात के चलते ऊपरी शिमला तक दूध व ब्रैड की सप्लाई न होने से लोगों को खासी परेशानी का सामना करना पड़ा,hi,unknown,sample_14857
017182.wav,जीवाणु कोशिका का केन्द्रक बहुकोशिक जीवों के केन्द्रक के समान सुसंगठित नहीं होता| इसमें केन्द्रक झिल्ली अनुपस्थित होती है|,hi,unknown,sample_17310
021840.wav,अंग्रेज़ी शासन के शुरुआती वर्षों में किए गए गाँवों के सर्वेक्षण और मराठाओं के दस्तावेज़ बताते हैं कि गाँवों में दस्तकार काफ़ी अच्छी तादाद में रहते थे|,hi,unknown,sample_22004
001490.wav,नेत्रगोलक छोटा अथवा चपटा होने के कारण नेत्रलेंस और दृष्टिपटल के बीच की दूरी कम होती है|,hi,unknown,sample_1500
012079.wav,कोश के कारण पाठकों तक ज्ञान पहुँचाया जाता है| उनकी जिज्ञासा को शांत करने का प्रयास किया जाता है| किसी मुद्दे को विस्तार में स्पष्ट किया जाता है|,hi,unknown,sample_12172
012939.wav,निवेदिता ने भारतीय मस्तिष्कों में राष्ट्रवाद प्रज्ज्वलित करने में महान भूमिका निभाई,hi,unknown,sample_13040
019058.wav,"प्रथम चरण में गुंटूर, प्रकाशम, कड़प्पा, अनंतपुर और चित्तूर जिलों की ग्राम पंचायतों में यह बदलाव सुनिश्चित किया जायेगा",hi,unknown,sample_19200
010807.wav,इग्नू के अलावा भी डिस्टेंस एजुकेशन के अधिकृत केंद्रों से इसकी शिक्षा ले सकते हैं।,hi,unknown,sample_10887
021889.wav,हालांकि इस बात का ख्याल रखना चाहिए कि त्वचा पर गर्म पानी पड़ने से नैचुरल ऑयल के कम होने का डर रहता है,hi,unknown,sample_22053
020288.wav,कुरान की प्रति हाथ लगने पर उसे श्रद्धा भाव से किसी मुस्लिम व्यक्ति को सौंप देंगे ।,hi,unknown,sample_20442
021719.wav,पालक पनीर के इन कोफ्तों को खाकर तारीफ़ करते नहीं थकेंगे मेहमान,hi,unknown,sample_21881
006518.wav,फत्हुल्लाह गूलेन पर रजब तय्यब अर्दोग़ान की सरकार का तख्ता पलटने के प्रयास का आरोप है।,hi,unknown,sample_6564
